TRX_TYPE	TX_DESC	CHANNEL	BILLER_TARGET	JENIS_TRX	mapping_sendiri		
TRF-BILL_P	MARANATHA	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	H2H POLIBAN	ATM	?	?			
TRF-BILL_P	XL VOUCHER:100000	ATM	XL	PURCHASE			
TRF-BILL_P	SPC H2H UT	ATM	?	?			
TRF-BILL_P	TLKM SUMUT	ATM	TELKOM	PAYMENT			
TRF-BILL_P	TLKM SKBUMI	ATM	TELKOM	PAYMENT			
TRF-BILL_P	PBB BANGKA BARAT	ATM	?	?			
TRF-BILL_P	SPC UNAIR H2H	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	PBB MERAUKE	ATM	PBB MERAUKE	PAYMENT			
TRF-BILL_P	BAZNAS INFAQ	ATM	INFAQ	PAYMENT			
TRF-BILL_P	CC BUKOPIN	ATM	BUKOPIN	PAYMENT			
TRF-BILL_P	TLKM PALANGKARAYA	ATM	TELKOM	PAYMENT			
TRF-BILL_P	INDOSAT PRABAYAR:150000	ATM	INDOSAT	PURCHASE			
TRF-BILL_P	PBBSURAKARTA	ATM	PBB SURAKARTA	PAYMENT			
TRF-BILL_P	PAKET DATA:       129000.	ATM	?	?			
TRF-BILL_P	IPCPALEMBANG	ATM	IPC PALEMBANG	PAYMENT			
TRF-BILL_P	VCR TLKOMSEL:1000000	ATM	TELKOMSEL	PURCHASE			
TRF-BILL_P	PP4 BLKPAPAN	ATM	PELINDO	PAYMENT			
TRF-BILL_P	PLN PREPAID:200000	ATM	PLN PREPAID:200000	PURCHASE			
TRF-BILL_P	PBB JAMBI	ATM	PBB JAMBI	PAYMENT			
TRF-BILL_P	SPC KHAIRUN	ATM	SPC KHAIRUN	PAYMENT			
TRF-BILL_P	PLN KALTIM	ATM	PLN POSTPAID	PAYMENT			
TRF-BILL_P	INDOSAT PRABAYAR:25000	ATM	INDOSAT	PURCHASE			
TRF-BILL_P	FREN:25000	ATM	SMARTFREN	PURCHASE			
TRF-BILL_P	TLKM JAKSEL	ATM	TELKOM	PAYMENT			
TRF-BILL_P	PBB DKI UTARA	ATM	PBB DKI UTARA	PAYMENT			
TRF-BILL_P	PAKET DATA:60000	ATM	PAKET DATA XL	PURCHASE			
TRF-BILL_P	IPC TBAYUR	ATM	IPC TBAYUR	PAYMENT			
TRF-BILL_P	TLKM AMBON	ATM	TELKOM	PAYMENT			
TRF-BILL_P	BUSAN AUTO	ATM	BUSAN AUTO FINANCE	PAYMENT			
TRF-BILL_P	SAMSATJATENG	ATM	SAMSAT JATENG	PAYMENT			
TRF-BILL_P	SMS FINANCE	ATM	SMS FINANCE	PAYMENT			
TRF-BILL_P	XL VOUCHER:300000	ATM	XL	PURCHASE			
TRF-BILL_P	BAMUIS INFAQ	ATM	INFAQ	PAYMENT			
TRF-BILL_P	SPC H2H UNM	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	TLKM SUMBAR	ATM	TELKOM	PAYMENT			
TRF-BILL_P	SPC UNITOMO	ATM	SPC UNITOMO	PAYMENT			
TRF-BILL_P	RAILINK	ATM	RAILINK	PURCHASE			
TRF-BILL_P	DPU DT INFAQ	ATM	INFAQ	PAYMENT			
TRF-BILL_P	PLN DKI	ATM	PLN POSTPAID	PAYMENT			
TRF-BILL_P	PBB YOGYAKARTA	ATM	PBB YOGYAKARTA	PAYMENT			
TRF-BILL_P	VCR TLKOMSEL:50000	ATM	TELKOMSEL	PURCHASE			
TRF-BILL_P	INDOVISION	ATM	INDOVISION	PAYMENT			
TRF-BILL_P	PBB PALANGKARAYA	ATM	?	?			
TRF-BILL_P	XL VOUCHER:        15000.	ATM	?	?			
TRF-BILL_P	TLKM PALU	ATM	TELKOM	PAYMENT			
TRF-BILL_P	UIN ALAUDDIN	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	FREN POST PAID	ATM	SMARTFREN	PAYMENT			
TRF-BILL_P	SPC UNSURYA	ATM	SPC UNSURYA	PAYMENT			
TRF-BILL_P	DOMPET DHUAFA ZAKAT	ATM	ZAKAT	PAYMENT			
TRF-BILL_P	PLN TARAKAN	ATM	PLN POSTPAID	PAYMENT			
TRF-BILL_P	XL VOUCHER:50000	ATM	XL	PURCHASE			
TRF-BILL_P	STANCHAR CC	ATM	STANDARD CHARTERED	PAYMENT			
TRF-BILL_P	TELKOM UNIVERSITY	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	PP4 KENDARI	ATM	PELINDO	PAYMENT			
TRF-BILL_P	BAZNAS ZAKAT	ATM	ZAKAT	PAYMENT			
TRF-BILL_P	PGRI YOGYA	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	IM2 I-PAY	ATM	INDOSAT	PAYMENT			
TRF-BILL_P	SPC UKI	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	PP4 SANGATTA	ATM	PELINDO	PAYMENT			
TRF-BILL_P	PLN PREPAID:20000	ATM	PLN PREPAID:20000	PURCHASE			
TRF-BILL_P	KALSELTENG	ATM	PLN POSTPAID	PAYMENT			
TRF-BILL_P	PLN JATIM	ATM	PLN POSTPAID	PAYMENT			
TRF-BILL_P	PBB SURABAYA	ATM	PBB SURABAYA	PAYMENT			
TRF-BILL_P	SIAGA BENCANA	ATM	SIAGA BENCANA	PAYMENT			
TRF-BILL_P	INDOSAT PASCA BAYAR	ATM	INDOSAT	PAYMENT			
TRF-BILL_P	INDOSAT PRABAYAR:500000	ATM	INDOSAT	PURCHASE			
TRF-BILL_P	VCR TLKOMSEL:25000	ATM	TELKOMSEL	PURCHASE			
TRF-BILL_P	XL XL POST PAID	ATM	XL	PAYMENT			
